commune_name,longitude,latitude,population
Ain Benian,2.9216666666666664,36.80277777777778,68354
Ain Taya,3.2869444444444444,36.79333333333333,34501
Baba Hassen,2.9725,36.69555555555555,23756
Bab El Oued,3.0241666666666664,36.79805555555556,64732
Bab Ezzouar,3.1827777777777775,36.726111111111116,96597
Bachdjerrah,3.1141666666666667,36.72527777777778,93289
Baraki,3.0958333333333337,36.66638888888889,116375
Ben Aknoun,3.0119444444444445,36.76,18838
Beni Messous,2.975,36.778888888888886,36191
Birkhadem,3.05,36.715,77749
Bir Mourad Raïs,3.0477777777777777,36.73277777777778,45345
Birtouta,2.9891666666666667,36.628055555555555,30575
Bologhine,3.04,36.806666666666665,43835
Bordj El Bahri,3.2494444444444444,36.79055555555556,52816
Bordj El Kiffan,3.192222222222222,36.74861111111111,151950
Bourouba,3.106388888888889,36.714444444444446,71661
Casbah,3.0591666666666666,36.78444444444444,36762
Cheraga,2.959166666666667,36.7675,80824
Dar El Beïda,3.2086111111111113,36.73305555555556,80033
Dely Ibrahim,2.9833333333333334,36.75083333333333,35230
Djasr Kasentina,3.095277777777778,36.696666666666665,133247
Douera,2.9444444444444446,36.669999999999995,56998
Draria,2.9650000000000003,36.683055555555555,44141
El Achour,2.9905555555555554,36.731944444444444,41070
El Biar,3.0258333333333334,36.7675,47332
El Harrach,3.144722222222222,36.71333333333334,48869
El Madania,3.0669444444444447,36.74194444444444,40301
El Magharia,3.111111111111111,36.73361111111111,31453
El Marsa,3.2544444444444443,36.81027777777778,12100
El Mouradia,3.049722222222222,36.75138888888889,22813
Hussein Dey,3.0869444444444447,36.73305555555556,40698
Hydra,3.024722222222222,36.74055555555556,31133
Khraicia,2.9819444444444447,36.676944444444445,27910
Kouba,3.0847222222222226,36.73416666666667,104708
Les Eucalyptus,3.1838888888888888,36.70388888888889,116107
Mahelma,2.877222222222222,36.68222222222222,20758
Mohammadia,3.1577777777777776,36.73527777777778,62543
Oued Koriche,3.041111111111111,36.78444444444444,46182
Oued Smar,3.1774999999999998,36.70111111111111,32062
Ouled Chebel,2.9944444444444445,36.599444444444444,20006
Ouled Fayet,2.9497222222222224,36.73638888888889,27593
Rahmania,2.9141666666666666,36.68388888888889,7396
Reghaia,3.3400000000000003,36.73583333333333,85452
Rouiba,3.2805555555555554,36.738055555555555,61984
Saoula,3.0244444444444443,36.70444444444445,41690
Sidi M'Hamed,3.0580555555555553,36.75972222222222,67873
Sidi Moussa,3.0877777777777777,36.60611111111111,40750
Souidania,2.9125,36.70805555555556,17105
Staoueli,2.8877777777777776,36.753055555555555,47664
Zeralda,2.8422222222222224,36.711666666666666,51552
